race_number,horse_number,horse_name,jockey,trainer,morning_line,early_speed,late_speed,dirt_starts,dirt_wins,synth_starts,synth_wins,turf_starts,turf_wins,distance_starts,distance_wins,hist1_date,hist1_type,hist1_class,hist1_beyer,hist1_first_call,hist1_last_call,hist2_date,hist2_type,hist2_class,hist2_beyer,hist2_first_call,hist2_last_call,hist3_date,hist3_type,hist3_class,hist3_beyer,hist3_first_call,hist3_last_call,hist4_date,hist4_type,hist4_class,hist4_beyer,hist4_first_call,hist4_last_call,hist5_date,hist5_type,hist5_class,hist5_beyer,hist5_first_call,hist5_last_call,hist6_date,hist6_type,hist6_class,hist6_beyer,hist6_first_call,hist6_last_call,hist7_date,hist7_type,hist7_class,hist7_beyer,hist7_first_call,hist7_last_call,hist8_date,hist8_type,hist8_class,hist8_beyer,hist8_first_call,hist8_last_call,hist9_date,hist9_type,hist9_class,hist9_beyer,hist9_first_call,hist9_last_call,hist10_date,hist10_type,hist10_class,hist10_beyer,hist10_first_call,hist10_last_call,hist11_date,hist11_type,hist11_class,hist11_beyer,hist11_first_call,hist11_last_call,hist12_date,hist12_type,hist12_class,hist12_beyer,hist12_first_call,hist12_last_call
2,1,SoundofVictory,ASMUSSENE,Asmussen Steven,7-2,89.0,75.0,12,4,0.0,0.0,0,0,7,2,13Dec25,1^0.0625,3(older)(Alw)39000N1X,79,2^2,1^(head),20Nov25,1,3(older)(Alw)39000N1X,77,4^3,3^4.75,16Oct25,1,3(older)(Clm)c-7500N3L,68,6^5.5,1^3.25,26Sept25,1^70(s),3(older)(Clm)c-7500N3L,64,5^3,3^1.25,4Aug25,1(S),3(older)(Clm)16000B,65,8^4.75,4^6.5,29June25,1,3(older)(Clm)20000N2L,71,4^5,1^(neck),6June25,1,3(older)(Clm)20000N2L,62,3^6,2^4.25,20Apr25,1,3(older)(Alw)33500N2L,52,5^6,6^13.75,28Mar25,1^0.0625,3(older)(Clm)32000N2L,59,10^9.25,9^8.75,9Mar25,1^70,3(older)(Md)(Sp)(Wt)40k,65,6^3.5,1^1.25,8Feb25,1,3(older)(Md)(Sp)(Wt)33k,56,6^8,2^1.5,22Nov24,1^0.0625(s),3(older)(Md)c-30000,61,6^4,4^5
2,2,CriticalThreat,BACONTW,Tracy Tanner,10-1,86.0,83.0,33,7,0.0,0.0,0,0,2,1,29Nov25,1^0.0625,3(older)(Clm)30000B,59,8^6.5,7^17.75,19Oct25,1^0.0625(s),3(older)(Clm)c-16000,83,2^0.50,1^(neck),17Sept25,1,3(older)(Clm)16000,71,3^1,4^4,8Aug25,1^0.125S,3(older)OC16k/SAL7k-N,72,5^1.25,3^1.5,13July25,1(S),3(older)(Clm)7500,78,3^1.5,1^1.75,15June25,6f,4(older)(Clm)12500,49,4,6^11.25,10May25,6f,4(older)(Clm)c-12500,55,4,9^10,12Apr25,6^0.50f,4(older)(Clm)40000,45,5,9^14.75,30Jan25,7f(c),4(older)OC25k/SAL16k-N,65,6,5^12.25,5Jan25,7f(c),4(older)OC25k/SAL20k-N,80,3,5^9.75,16Nov24,7f(c),3(older)(Alw)16000sC,80,7,4^2.25,1Sept24,7f,4(older)(Clm)c-16000,97,5,1^12.50
2,3,TahoeSunrise,SANTANARJR,Casse Norm,15-1,102.0,62.0,10,3,0.0,0.0,2,0,0,0,13Dec25,6f,3(older)(Clm)30000(30-25),33,7,10^22.75,28Aug25,7f(C),3(older)(Clm)50000-W,50,6,7^21,28Nov24,1,3(older)(Clm)c-50000,73,4^0.75,4^5,8Nov24,5f(T),3(older)(OC)75k/NC,77,7,6^4.75,24Aug24,6^0.50fS,3(older)(Clm)c-(40-35),83,3,3^3.5,1June24,7f(s),4(older)TrplBnd-G2,72,2,4^17,30Dec23,6^0.50f(T),3(older)Hernandz-G2,84,8,8^4.75,24Nov23,1(S),3(older)(OC)80k/N2X-N,85,4^1.5,1^(nose),3Sept23,1(C),ShrdBelifL125k,91,1^0.50,1^8,21July23,6^0.50f,3(older)(OC)40k/N1X-N,84,5,2^4.25,4June23,6f,3(older)(OC)50k/N1X-N,82,7,3^6,6May23,7f,LBrreraL98k,82,4,3^5.75
2,4,GlobalEmpire,HUCKABYR,Haran John,20-1,82.0,69.0,40,7,1.0,0.0,2,0,33,2,13Dec25,1^0.0625(s),3(older)(Clm)10000B,65,2^0.50,5^4.5,2Oct25,1^70(S),3(older)(Clm)5000B,57,4^2,2^6.5,11Sept25,1^70(s),3(older)(Clm)5000B,42,3^1,5^20.25,28Aug25,1^70(S),3(older)(Clm)5000B,52,1^(head),3^6,14Aug25,1^70(S),3(older)(Clm)5000B,59,4^2,3^5,31July25,1^70(s),3(older)(Clm)c-5000B,61,4^2,2^0.50,17July25,1^70,3(older)OC10k/SAL5k,60,6^9,5^11.75,6July25,1^70(S),3(older)(Clm)12500B,61,5^2.75,4^5.75,21June25,1^70,3(older)OC12k/SAL5k,32,1^(head),7^22.50,5June25,1^70,3(older)(Clm)25000,50,6^3.5,5^27.50,18May25,1^70,3(older)OC15k/SAL7k,66,4^4,3^4.75,4May25,1^70,3(older)OC15k/SAL7k-N,58,7^4.25,5^9
2,5,OneCoolDude,ESQUIVELE,Blair Jordan,20-1,112.0,47.0,18,5,3.0,0.0,2,0,3,0,23Nov25,6f(c),3(older)(Clm)12500,54,6,8^9,8Nov25,7f(C),3(older)(Clm)20000,42,7,10^18.25,12Oct25,7f,3(older)(Clm)16000,65,3,2^1,31May25,6f(c),4(older)(Clm)25000,62,6,9^7.5,12Oct24,6f(c),3(older)(Alw)20000sC,77,4,8^5.5,13Sept24,6f,3(older)(Alw)10000sC,68,9,7^5.25,29July24,6^0.50f,3(older)OC20k/SAL10k-N,89,4,2^0.50,21June24,6^0.50f,4(older)(Alw)10000sC,83,3,1^4.25,19May24,6^0.50f,4(older)(Clm)16000,83,2,1^2.5,6Mar24,6f(A),4(older)(Clm)v-(10-8),12,7,10^26.25,15Feb24,6^0.50f(A),4(older)(Clm)12500(12.5-10.5),69,2,3^2.5,5Nov23,6f(c),3(older)(Clm)v-32000,71,4,7^6.75
2,6,BoltAtMidnight,BEJARANOR,Hartman Chris,20-1,106.0,61.0,9,2,3.0,1.0,2,0,5,1,29Oct25,1^0.0625(X),3(older)(Clm)50000,-0,4^2,^3,21Sept25,6f,3(older)(Clm)40000,68,5,4^5.25,21June25,1^0.0625,3(older)(Alw)50000sN1X,70,5^2,4^9.25,1May25,1,3(older)(Alw)50000sN1X,67,2^(head),5^5.5,29Mar25,1^0.0625,4(older)(Alw)130000N1X,76,1^1,5^6.5,24Feb25,1,4(older)(Clm)40000(40-35)N3L,84,2^0.50,1^0.50,22Dec24,1^0.0625,3(older)(Clm)55000(55-50)N2L,80,2^0.50,1^(neck),23Nov24,1(s),3(older)(OC)40k/N1X-N,74,1^0.50,4^9,1Nov24,6^0.50f(c),3(older)(OC)40k/N1X-N,64,3,7^14.75,11May24,1^0.0625(T)(C),(OC)100k/N1X-N,62,8^5,10^10,5Apr24,7f(C),LafayetteB320k,39,4,^3,2Mar24,1^0.0625(A),JBttglaMmL142k,71,1^1,6^10
2,7,WartimeHero,TORRESCA,Wiggins Lon,3-1,93.0,74.0,28,8,0.0,0.0,1,1,19,6,5Dec25,7f(s),3(older)(Alw)5000sC,88,4,2^0.50,23Oct25,1,3(older)(Clm)c-5000,74,3^3,2^3,29Aug25,1(X),3(older)(Alw)39000N1X,76,4^2.5,1^(neck),9Aug25,1^0.0625,3(older)(Clm)c-5000,80,2^0.50,1^7.5,3July25,1^0.0625,3(older)(Clm)c-5000B,69,3^2,1^1,7June25,1^0.0625(s),3(older)(Clm)c-5000B,67,5^6,2^1.25,3May25,1^0.0625(C),3(older)(Clm)12500B,63,11^12,8^9.25,24Apr25,1,4(older)(Clm)12500B,59,6^6,2^2.5,27Dec24,1^0.0625,3(older)(Clm)c-8000B,65,8^5.5,2^4.75,6Dec24,1^.1875,3(older)(Alw)10000sC,69,9^8.25,5^9,26Aug24,1^70,3(older)(Alw)20000N1X,62,6^10,5^12.50,15July24,1(T)(S),3(older)(Clm)12500B,75,4^7,1^1
2,8,Runningforcash,CEDILLOA,Martinez Ralph,10-1,89.0,77.0,26,5,0.0,0.0,0,0,12,3,3Nov25,1,3(older)(Clm)6500N2Y,76,3^3.5,1^7.5,18Oct25,1^0.0625C,3(older)(Clm)6250,76,4^2.5,1^3.5,22Sept25,1,3(older)(Clm)5000B,63,7^5,3^1.25,8Sept25,1,3(older)(Clm)5000B,64,6^1.75,1^5.25,23Aug25,1^70,3(older)(OC)10k/N1X,43,6^4.5,6^16.25,1Aug25,7f,3(older)(Clm)10000,62,9,6^2.75,21June25,1^70,3(older)OC12k/SAL5k,58,3^2,5^7,17May25,6f,3(older)(OC)25k/N2X,28,6,7^26.75,13Apr25,1^70,3(older)(Alw)32000N1X,56,1^1,4^10,30Nov24,7f,3(older)OC15k/SAL7k,50,6,8^16.50,2Nov24,1,3(older)(OC)c-10k/C,62,1^0.50,4^5.25,17Oct24,1,3(older)(OC)c-10k/C,71,2^1,2^(head)
2,9,HotGunner,TRIANAAJR,Young Scott,20-1,74.0,93.0,17,2,0.0,0.0,0,0,4,0,15Nov25,1^0.0625(X),3(older)(Alw)30000sC,58,5^2.75,4^14.75,25Oct25,1(X),3(older)(Clm)30000N3L,67,6^5,1^1.5,28Sept25,1^0.125,OkDrby-G3,57,6^4,5^28.50,13Sept25,1,3(older)(Alw)40000N3L,69,4^1.5,4^3.75,22June25,1(S),(OC)50k/N2L,64,5^4,5^5.75,7June25,1,PraireMle50k,67,5^7,5^9.5,24May25,1,(OC)50k/N2L,68,4^2.5,3^0.50,19Apr25,1^0.125,BthHseRowB200k,59,6^7,^3,22Mar25,1^70,^3 TXTBAsnDy109k,77,9^7.25,2^(neck),23Feb25,1^0.0625,Rebel-G2,63,10^15,11^1,19Jan25,1,(Alw)34500N2L,62,7^3.75,1^(head),4Jan25,1^0.0625,SmrtyJnsL250k,64,6^2.25,6^12.25
2,10,Coppermaster,MENDOZAA,Garci^5 Genaro,15-1,62.0,113.0,21,3,1.0,0.0,2,0,8,0,23May25,1^0.0625,4(older)(Clm)c-25000,57,6^4.5,7^17,16Apr25,1^0.0625,4(older)(Clm)32000,70,6^7.25,4^8.25,1Mar25,1^0.0625(C),4(older)(Alw)53000N1X,74,8^6.5,^3,1Feb25,1^0.0625,4(older)(Alw)59000N1X,78,8^5,4^6.5,4Jan25,1^0.0625(C),4(older)(Alw)59000N1X,78,8^11,3^3.5,7Dec24,1^0.0625,3(older)(Alw)59000N1X,77,6^7,4^3,7Nov24,1^0.0625S,3(older)(Clm)50000,64,7^8.5,6^14.50,11Oct24,7f(s),3(older)(Clm)c-25000,73,3,4^3.75,17Aug24,1(s),3(older)(Clm)35000B,68,7^4.75,2^10,19July24,1(S),3(older)(OC)25k/N1X-N,71,5^7,3^11.50,22June24,1,3(older)Hcp 75000,62,8^5.75,6^11.50,14Apr24,1,3(older)(OC)35k/N1X-N,84,6^4.5,3^5.5
2,11,Winter'sGhost,ARRIETAF,Potts Wayne,5-1,98.0,64.0,32,6,2.0,0.0,4,0,12,5,13Dec25,1^0.0625(s),3(older)(Clm)10000B,72,1^0.50,1^(head),13Nov25,1^0.125S,3(older)(Clm)10000,51,1^(head),4^14.25,19Oct25,6f(c),3(older)(Clm)12500,45,2,6^12,8Aug25,1(S),3(older)(Clm)c-12500,72,2^1,3^4.5,31July25,1^0.125,3(older)(Clm)12500,76,2^1.5,3^8.75,6July25,1^0.125,3(older)(Clm)12500,73,4^1.5,4^3.25,14June25,1,4(older)(Clm)c-10000,58,2^0.50,5^8.25,25May25,1(C),4(older)(Clm)20000,77,6^1.75,3^3.75,10May25,1(S),4(older)(Clm)10000,78,1^(head),3^7.25,18Jan25,1,4(older)(Clm)16000B,74,2^1.5,2^6.5,2Jan25,1,4(older)(Clm)10000,64,1^(head),3^6.5,6Dec24,1(C),3(older)(Clm)c-10000,66,4^2,2^5.5
2,12,ApolloRising,VAZQUEZRA,Ramirez-Rodriguez Abel,4-1,92.0,83.0,15,5,0.0,0.0,3,0,6,3,8Aug25,1^70,3(older)(Clm)c-20000B,85,3^1,1^3,4July25,1^70(s),3(older)(Alw)45638N1X,67,4^8,4^6.25,21June25,1,3(older)(OC)20k/N1X-N,73,6^3,2^2,30Apr25,1(T),4(older)(OC)16k/N1X-N,68,6^7,6^5.75,7Feb25,1,4(older)WnshmLad65k,76,2^(head),3^3.25,1Dec24,1^.1875,3(older)(Alw)50000sN1X,72,2^1.5,3^4.25,13Nov24,1^0.0625,3(older)(Alw)50000sN1X,72,5^3,3^1.75,23Oct24,1^.1875(S),3(older)(Alw)50000sN1X,84,4^3,2^1,7June24,1^0.0625,4(older)(Alw)20000sC,80,3^3.5,1^0.75,12May24,1^0.125(T),3(older)(Alw)122435N1X,78,4^5,2^1.25,29Mar24,1^0.125(c),4(older)(Alw)50000sN1X,78,5^3.5,3^1.5,2Mar24,1^0.125(s),4(older)(Alw)50000sN1X,76,3^1,2^0.50
2,13,BigPaper,MENDOZAA,Van Berg,20-1,57.0,90.0,15,5,6.0,0.0,13,1,13,4,5Dec25,1^0.125(A)(C),3(older)(Clm)16000(16-14),53,9^7.25,9^9.5,9Nov25,1^0.0625,3(older)(Clm)12500,63,6^7.5,2^1.25,2Oct25,1,3(older)(Clm)5000,64,4^3.5,1^1,17Sept25,1^70S,3(older)(Clm)5000B,53,3^2,1^1,29Aug25,1^70,3(older)(Clm)5000N1Y,53,5^5.5,1^7.25,1Aug25,1(s),3(older)(Clm)5000B,48,6^5,4^7.5,18May25,1^0.0625(s),4(older)(Clm)16000,52,6^6.5,6^16.50,24Feb25,1^0.0625,4(older)(Clm)20000N1Y,73,7^7.75,3^2.75,6Dec24,1^.1875,3(older)(Alw)10000sC,59,12^12,10^16,18Oct24,1^0.125(c),3(older)(Alw)10000sC,71,10^8,5^5.75,17Aug24,1(T),3(older)OC20k/SAL10k-N,69,8^16,9^8,5May24,1^.375,3(older)(Alw)10000sC,73,10^17,5^5.75
2,14,ComeOutFighting,TORRESCA,Williams Sean,15-1,109.0,53.0,13,5,9.0,2.0,2,0,0,0,9Nov25,1,3(older)(Clm)c-(16-14),49,4^(neck),7^15,26Sept25,1,3(older)(Clm)10000,84,4^2,1^0.50,28Aug25,5^0.50f(c),3(older)(Clm)8000(8-7),60,8,5^7,25July25,5^0.50f(c),3(older)(Clm)16000(16-14),60,5,6^6.5,5July25,6^0.50f(c),3(older)OC12k/SAL10k-N,44,6,8^14.75,21Feb25,6f(T),4(older)ËOC20k/SAL16k-N,62,6,7^1,7Feb25,6f,4(older)OC20k/SAL16k-N,65,4,5^7.75,30Dec24,6f,3(older)(Alw)12500sC,74,7,2^1,15Dec24,6f,(Clm)25000(25-22.5),71,3,1^(nose),24Nov24,5^0.50f,(Clm)22500 (25-22.5),71,1,1^1.5,3Nov24,6f,(Clm)16000 (16-14),68,3,1^0.50,21Sept24,6f,(Clm)10000(10-9),62,6,1^1.75
3,1,MissJeopardy,MENDOZAA,Garci^5 Genaro,4-1,73.0,63.0,11,4,1.0,0.0,1,0,10,3,5Aug25,1^0.0625(X)(S),3(older)(fillie)OC12k/SAL8k-N,61,2^1,3^5,3July25,1^0.0625(s),3(older)(fillie)(Clm)12500B,60,1^1,1^2.25,14June25,wf^S,3(older)(fillie)(Clm)5000B,50,6,3^13.50,7June25,6f,4(older)(fillie)(Clm)16000,61,3,5^7.25,10May25,6^0.50f,4(older)(fillie)(Clm)20000,58,3,6^6.25,28Mar25,6f,4(older)(fillie)(Clm)32000N2Y,42,3,9^15.25,22Dec24,1,3(older)(fillie)(Clm)c-(20-17.5),52,2^0.50,5^11.25,29Nov24,7f,3(older)(fillie)(Clm)30000B,72,1,1^3,13Nov24,6f,3(older)(fillie)(Clm)30000B,60,4,3^5.75,12Oct24,6f(C),3(older)(fillie)(Clm)c-20000B,56,2,5^7.25,12Sept24,6f,3(older)(fillie)(OC)12k/N1X-N,69,3,1^(neck),21June24,6f(S),(fillie)(Clm)c-40000,69,1,2^4.25
3,2,SingingEmma,DELACRUZW,Loy F,12-1,97.0,46.0,32,5,0.0,0.0,0,0,27,6,21Sept25,6f(S),3(older)(fillie)(Alw)8000sC,50,3,4^12,29Aug25,6f,3(older)(fillie)(Alw)35500N1X,51,2,5^9,18Aug25,5f,3(older)(fillie)(Alw)37204 N1X,50,4,4^5.75,20July25,6f,3(older)(fillie)(Clm)12500B,68,3,1^(head),7June25,5^0.50f,3(older)(fillie)(Alw)37190N1X,56,6,6^6.75,17May25,5^0.50f,3(older)(fillie)(Alw)35500N1X,49,4,4^6,10May25,5^0.50f,4(older)(fillie)(Alw)40794NC,60,1,6^8.75,2May25,6f(c),3(older)(fillie)(Alw)12500sC,51,4,5^6.5,30Mar25,6f,4(older)(fillie)(Clm)10000B,58,1,1^0.75,9Mar25,6f(c),3(older)(fillie)(Clm)8000B,46,9,4^4.5,2Mar25,1,3(older)(fillie)(Clm)8000B,33,2^(head),^3,16Feb25,6f(C),3(older)(fillie)(Clm)12500B,34,1,11^10
3,3,What'sCrackin,ARRIETAR,Irion Heather,12-1,96.0,54.0,10,3,3.0,1.0,5,1,6,1,11Nov25,6f,3(older)(fillie)OC8k/SAL5k,54,2,7^6,16Oct25,6f,3(older)(fillie)(Alw)36960N1X,49,5,5^12.75,2Sept25,1,3(older)(fillie)(OC)10k/N1X-N,66,1^(head),1^(neck),24Aug25,6f,3(older)(fillie)(Clm)c-10000,64,2,2^0.75,2Aug25,5^0.50f,3(older)(fillie)(Clm)7500,57,1,2^0.50,4July25,7f(c),3(older)(fillie)(Alw)33500N1X,51,3,4^8.25,21June25,5f(T),3(older)(fillie)OC20k/SAL15k-N,63,8,5^4,6June25,1(T)(C),3(older)(fillie)(Clm)c-15000,62,1^3,7^6,10May25,6^0.50f,3(older)(fillie)(Clm)c-7500B,70,1,1^4.25,19Apr25,4^0.50f,3(older)(fillie)OC10k/SAL7k-N,51,5,MedellinA,21Mar25,6f,3(older)(fillie)(Alw)33600C,58,2,6^10,30Jan25,6f,3(older)(fillie)(Clm)c-7500N3L,67,1,1^7
3,4,IukaMiss,VAZQUEZRA,Mason Ingrid,8-1,98.0,67.0,19,3,0.0,0.0,3,0,4,0,6Dec25,1,3(older)(fillie)(Alw)39000N1X,53,1^(head),7^10,21Nov25,1(C),3(older)(fillie)(Clm)10000N3L,63,1^0.50,1^5,31Oct25,7f,3(older)(fillie)(Clm)10000N3L,51,7,4^3,11Oct25,1^0.0625S,3(older)(fillie)(Clm)c-10000N3L,54,2^1.5,4^4.75,6Sept25,7^0.50f(T),3(older)(fillie)(Clm)30000N3L,62,2,4^5,30Aug25,5f(X),3(older)(fillie)(Clm)20000N3L,-,7,4^3,8Aug25,7f,3(older)(fillie)(Clm)20000N3L,48,1,6^10,5May25,6f,3(older)(fillie)(Alw)23000 N1X,67,5,1^1.25,21Apr25,1,3(older)(fillie)(Alw)23000N1X,58,5^2.5,3^10,12Dec24,7f,3(older)(fillie)(Alw)10000sC,53,7,6^12.75,26Nov24,6f(S),3(older)(fillie)(Clm)20000B,50,6,6^5.75,8Nov24,1(X),3(older)(fillie)(Clm)30000N3L,57,3^2,4^4.25
3,5,FirstHill,HUCKABYR,Haran John,8-1,104.0,47.0,15,3,6.0,1.0,6,1,17,5,14Dec25,6f,3(older)(fillie)(Clm)30000(30-25),55,5,6^8.25,23Sept25,6f,3(older)(fillie)(Clm)15000(15-10)B,64,5,3^4.5,21Aug25,6f(c),3(older)(fillie)OC20k/SAL16k-N,46,3,8^18.75,7Aug25,5^0.50f,3(older)(fillie)(OC)40k/C,38,7,6^14.25,26June25,6f,3(older)(fillie)(OC)40k/C,41,1,6^11.50,29May25,5f,3(older)(fillie)(OC)40k/(C),41,10,8^11,2May25,6f,4(older)(fillie)(OC)35k/N1X-N,54,2,8^8.25,19Apr25,6f(c),4(older)(fillie)(Alw)131000N1X,12,6,10^31.75,1Feb25,6f,4(older)(fillie)AmrcnButyL150k,44,2,6^17.50,18Jan25,6f,4(older)(fillie)(OC)35k/N1X-N,46,10,10^17,7Dec24,6f,3(older)(fillie)(Alw)131000N1X,61,6,7^7.5,18Aug24,6f,3(older)(fillie)(OC)c-50k/C,61,5,3^8
3,6,CollectedGlory,TORRESCA,Martin William,5-2,88.0,55.0,22,3,0.0,0.0,1,0,26,2,20July25,6f,3(older)(fillie)(Clm)v-12500B,67,1,2^(head),16June25,6f,3(older)(fillie)(Clm)30000N3X,58,3,3^3.5,1June25,5^0.50f(s),3(older)(fillie)(Clm)20000N3L,60,2,1^0.50,19May25,1,3(older)(fillie)(Clm)20000N3L,48,2^1.5,5^7,2May25,6f(c),3(older)(fillie)(Alw)12500sC,56,1,4^4.75,12Apr25,6f,3(older)(fillie)(Clm)c-(12.5-10)B,63,4,3^1.75,21Mar25,6f(S),4(older)(fillie)(Clm)12500N3L,47,3,4^10,9Mar25,6f,3(older)(fillie)(Clm)20000B,61,3,2^3.5,16Feb25,6f(C),3(older)(fillie)(Clm)c-12500B,57,10,2^(neck),23Jan25,6f(c),4(older)(fillie)(Clm)30000(35-30)N3L,39,4,8^17,9Sept24,6f,3(older)(fillie)(Alw)36500N3L,65,5,6^4,26Aug24,6f,3(older)(fillie)(Alw)35500N1X,57,5,4^6.75
3,7,CrushedIce,TORRESJA,Kantarmaci Mertkan,8-1,92.0,80.0,17,2,3.0,0.0,1,0,6,0,28Nov25,1(C),3(older)(fillie)(Clm)25000,49,6^3.75,5^8.25,6Nov25,1,3(older)(fillie)(Clm)c-20000,59,3^1.5,4^5,12Oct25,1^0.0625,3(older)(fillie)(Clm)25000,65,1^0.50,3^1.75,6Sept25,1(T),3(older)(fillie)(Alw)200548N1X,60,1^0.50,8^11,28July25,6f(s),3(older)(fillie)(Alw)42160N1X,60,4,4^7.25,27June25,6^0.50f(S),4(older)(fillie)(Clm)20000,62,4,2^2.75,11June25,7f(s),3(older)(fillie)(Alw)50000sN1X,39,3,8^22,22May25,1,3(older)(fillie)(Alw)125785N1X,42,5^1.75,7^16.25,20Nov24,1^0.0625,3(older)(fillie)(Alw)50000sN1X,39,2^0.50,6^26.25,28Oct24,1,3(older)(fillie)(Alw)46240N1X,52,9^8.75,5^10,17Oct24,1^0.125,3(older)(fillie)(Alw)110000N1X,48,4^2.5,6^22.75,31Aug24,7f,3(older)(fillie)(Alw)110000N1X,47,9,9^20.50
3,8,SicilianGrandma,HERNANDEZI,Tranquilino Santiago,12-1,74.0,66.0,15,6,0.0,0.0,4,0,5,2,13Sept25,5f,3(older)(fillie)(Clm)7500B,46,4,3^6.5,27Aug25,6f,3(older)(fillie)(Clm)4000B,65,2,1^4,2Aug25,5^0.50f,3(older)(fillie)(Clm)4000B,37,6,4^9,2July25,1^70(T),Õ3(older)(fillie)(Clm)7500B,50,3^(neck),6^8.75,15June25,6f(S),3(older)(fillie)(Clm)7500(10-7.5)B,63,4,1^0.50,25May25,1(T),3(older)(fillie)(Clm)7500B,50,6^4.75,6^6.75,27Apr25,1^0.0625C,4(older)(fillie)(Clm)10000N2Y,37,3^2,8^20,7Feb25,1^0.0625(c),4(older)(fillie)(Clm)12500B,34,6^4.25,10^26,5Jan25,1(c),4(older)(fillie)(Alw)130000N1X,34,1^(head),10^24.75,15Dec24,1^0.0625C,3(older)(fillie)(Alw)130000N1X,23,1^1,^3,28Oct24,1,3(older)(fillie)(Alw)46240N1X,43,3^1,7^16,4Feb24,1^0.0625C,3(older)(fillie)(Alw)30000sN1X,22,4^3,7^30.50
3,9,DixiePenny,ARRIETAF,Hernandez Armando,3-1,100.0,38.0,48,11,0.0,0.0,1,0,40,8,2Nov25,6f,3(older)(fillie)(Clm)4000N2Y,59,2,2^1.5,18Oct25,6f,3(older)(fillie)(Alw)5000sC,53,1,3^1.25,11Sept25,6f(S),3(older)(fillie)(Clm)6250,61,2,1^2.5,2Aug25,6f,3(older)(fillie)(OC)10k/N1X,47,4,5^8,17July25,6f(S),3(older)(fillie)(Clm)5000B,63,4,1^1.75,18May25,6f,3(older)(fillie)OC10k/SAL5k-N,52,4,4^9,4May25,6f,3(older)(fillie)(Clm)7500B,61,2,1^1.25,13Apr25,5^0.50f,4(older)(fillie)(Clm)c-5000B,48,5,2^0.50,30Mar25,5f(s),4(older)(fillie)(Clm)c-5000B,50,2,2^7,16Feb25,6f,3(older)(fillie)(Clm)12500B,43,1,9^10,24Jan25,6f(c),4(older)(fillie)(Clm)10000,41,5,6^13.25,21Dec24,6f(c),3(older)(fillie)(Clm)8000(10-8),49,2,6^4.75
4,1,MagicalWish,ESQUIVELE,McPeek Kenneth,5-1,96.0,71.0,1,0,0.0,0.0,0,0,0,0,18Jan25,1^0.0625,(Md)(Sp)(Wt)60k,45,3^3.5,^3,26Dec24,6f,(Md)(Sp)(Wt)58k,66,9,4^13.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,NuWhat'sNew,SAEZL,DiVito James,5-2,85.0,78.0,4,0,0.0,0.0,1,0,0,0,22Oct25,6f(c),3(older)(Md)(Sp)(Wt)109k,75,9,3^7.75,3Oct25,7f,3(older)(Md)(Sp)(Wt)109k,88,6,3^(neck),13Sept25,6f,3(older)(Md)(Sp)(Wt)123k,84,8,2^(neck),15June25,1(T),3(older)(Md)(Sp)(Wt)117k,59,9^7.5,7^11,18May25,6f,3(older)(Md)(Sp)(Wt)123k,63,8,6^9.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,Globalist,ROSADOJ,Asmussen Steven,15-1,88.0,71.0,6,0,0.0,0.0,1,0,4,0,18Dec25,7f,3(older)(Md)(Sp)(Wt)38k,72,7,2^6.25,16Nov25,7^0.50f,3(older)(Md)100000,60,7,7^7,2Nov25,6f,3(older)(Md)c-50000,58,5,6^3.5,25Sept25,1,3(older)(Md)c-50000,66,1^0.50,3^1.5,11Sept25,1^0.0625(T)(S),3(older)(Md)(Sp)(Wt)32k,64,6^4.5,3^4.25,26June25,1,(Md)(Sp)(Wt)32k,70,6^4,3^7,24Apr25,1,(Md)(Sp)(Wt)32k,73,4^2,2^(neck),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,ElevenBravo,TRIANAAJR,Young Bob,20-1,100.0,81.0,2,0,2.0,0.0,7,0,2,0,22Nov25,1^0.0625(A),3(older)(Md)(Sp)(Wt)50k,52,3^1,6^16,19Oct25,1(T),3(older)(Md)(Sp)(Wt)50k,66,7^6,5^3.5,28Aug25,1(T),3(older)(Md)(Sp)(Wt)180k,53,2^1.5,7^18.50,27July25,1^70(A)(S),3(older)(Md)(Sp)(Wt)43k,72,3^(neck),2^0.50,28June25,1^0.0625(T),3(older)(Md)(Sp)(Wt)43k,75,5^3.5,2^2.25,10May25,1(T)(S),(Md)(Sp)(Wt)43k,75,3^2,2^0.50,30Mar25,1(T),(Md)(Sp)(Wt)70k,71,5^4,4^2.75,8Mar25,1(T),(Md)(Sp)(Wt)70k,71,9^5.75,5^3.25,8Feb25,1(T)(s),(Md)(Sp)(Wt)70k,63,4^2,7^5,14Dec24,1,(Md)(Sp)(Wt)39k,40,8^6.5,6^19.50,16Nov24,1,(Md)(Sp)(Wt)40k,52,7^4,5^11.75,,,,,,
